ML Method,Encoding Method,Metric,Value
AdaBoost_SAMME,backwarddifference,Average F1 score,0.46
DecisionTree,backwarddifference,Average F1 score,0.51
GaussianNB,backwarddifference,Average F1 score,0.38
KNN,backwarddifference,Average F1 score,0.51
LogisticRegression,backwarddifference,Average F1 score,0.44
MLP,backwarddifference,Average F1 score,0.46
NeuralNetwork,backwarddifference,Average F1 score,0.44
RandomForest,backwarddifference,Average F1 score,0.51
SVM,backwarddifference,Average F1 score,0.45
AdaBoost_SAMME,backwarddifference,Average Accuracy,0.54
DecisionTree,backwarddifference,Average Accuracy,0.56
GaussianNB,backwarddifference,Average Accuracy,0.37
KNN,backwarddifference,Average Accuracy,0.56
LogisticRegression,backwarddifference,Average Accuracy,0.53
MLP,backwarddifference,Average Accuracy,0.53
NeuralNetwork,backwarddifference,Average Accuracy,0.53
RandomForest,backwarddifference,Average Accuracy,0.55
SVM,backwarddifference,Average Accuracy,0.52
AdaBoost_SAMME,backwarddifference,Average Precision,0.48
DecisionTree,backwarddifference,Average Precision,0.51
GaussianNB,backwarddifference,Average Precision,0.54
KNN,backwarddifference,Average Precision,0.49
LogisticRegression,backwarddifference,Average Precision,0.43
MLP,backwarddifference,Average Precision,0.42
NeuralNetwork,backwarddifference,Average Precision,0.41
RandomForest,backwarddifference,Average Precision,0.5
SVM,backwarddifference,Average Precision,0.41
AdaBoost_SAMME,backwarddifference,Average Recall,0.54
DecisionTree,backwarddifference,Average Recall,0.56
GaussianNB,backwarddifference,Average Recall,0.37
KNN,backwarddifference,Average Recall,0.56
LogisticRegression,backwarddifference,Average Recall,0.53
MLP,backwarddifference,Average Recall,0.53
NeuralNetwork,backwarddifference,Average Recall,0.53
RandomForest,backwarddifference,Average Recall,0.55
SVM,backwarddifference,Average Recall,0.52
AdaBoost_SAMME,backwarddifference,Average MCC,0.24
DecisionTree,backwarddifference,Average MCC,0.26
GaussianNB,backwarddifference,Average MCC,0.19
KNN,backwarddifference,Average MCC,0.27
LogisticRegression,backwarddifference,Average MCC,0.18
MLP,backwarddifference,Average MCC,0.2
NeuralNetwork,backwarddifference,Average MCC,0.15
RandomForest,backwarddifference,Average MCC,0.26
SVM,backwarddifference,Average MCC,0.17
AdaBoost_SAMME,basen,Average F1 score,0.44
DecisionTree,basen,Average F1 score,0.51
GaussianNB,basen,Average F1 score,0.38
KNN,basen,Average F1 score,0.48
LogisticRegression,basen,Average F1 score,0.42
MLP,basen,Average F1 score,0.43
NeuralNetwork,basen,Average F1 score,0.46
RandomForest,basen,Average F1 score,0.51
SVM,basen,Average F1 score,0.49
AdaBoost_SAMME,basen,Average Accuracy,0.52
DecisionTree,basen,Average Accuracy,0.56
GaussianNB,basen,Average Accuracy,0.38
KNN,basen,Average Accuracy,0.54
LogisticRegression,basen,Average Accuracy,0.52
MLP,basen,Average Accuracy,0.53
NeuralNetwork,basen,Average Accuracy,0.55
RandomForest,basen,Average Accuracy,0.56
SVM,basen,Average Accuracy,0.55
AdaBoost_SAMME,basen,Average Precision,0.42
DecisionTree,basen,Average Precision,0.5
GaussianNB,basen,Average Precision,0.51
KNN,basen,Average Precision,0.46
LogisticRegression,basen,Average Precision,0.4
MLP,basen,Average Precision,0.38
NeuralNetwork,basen,Average Precision,0.44
RandomForest,basen,Average Precision,0.51
SVM,basen,Average Precision,0.47
AdaBoost_SAMME,basen,Average Recall,0.52
DecisionTree,basen,Average Recall,0.56
GaussianNB,basen,Average Recall,0.38
KNN,basen,Average Recall,0.54
LogisticRegression,basen,Average Recall,0.52
MLP,basen,Average Recall,0.53
NeuralNetwork,basen,Average Recall,0.55
RandomForest,basen,Average Recall,0.56
SVM,basen,Average Recall,0.55
AdaBoost_SAMME,basen,Average MCC,0.17
DecisionTree,basen,Average MCC,0.26
GaussianNB,basen,Average MCC,0.21
KNN,basen,Average MCC,0.22
LogisticRegression,basen,Average MCC,0.14
MLP,basen,Average MCC,0.15
NeuralNetwork,basen,Average MCC,0.2
RandomForest,basen,Average MCC,0.27
SVM,basen,Average MCC,0.23
AdaBoost_SAMME,binary,Average F1 score,0.45
DecisionTree,binary,Average F1 score,0.5
GaussianNB,binary,Average F1 score,0.29
KNN,binary,Average F1 score,0.52
LogisticRegression,binary,Average F1 score,0.45
MLP,binary,Average F1 score,0.44
NeuralNetwork,binary,Average F1 score,0.46
RandomForest,binary,Average F1 score,0.51
SVM,binary,Average F1 score,0.49
AdaBoost_SAMME,binary,Average Accuracy,0.54
DecisionTree,binary,Average Accuracy,0.56
GaussianNB,binary,Average Accuracy,0.25
KNN,binary,Average Accuracy,0.57
LogisticRegression,binary,Average Accuracy,0.54
MLP,binary,Average Accuracy,0.55
NeuralNetwork,binary,Average Accuracy,0.53
RandomForest,binary,Average Accuracy,0.56
SVM,binary,Average Accuracy,0.55
AdaBoost_SAMME,binary,Average Precision,0.48
DecisionTree,binary,Average Precision,0.5
GaussianNB,binary,Average Precision,0.58
KNN,binary,Average Precision,0.5
LogisticRegression,binary,Average Precision,0.43
MLP,binary,Average Precision,0.4
NeuralNetwork,binary,Average Precision,0.46
RandomForest,binary,Average Precision,0.51
SVM,binary,Average Precision,0.49
AdaBoost_SAMME,binary,Average Recall,0.54
DecisionTree,binary,Average Recall,0.56
GaussianNB,binary,Average Recall,0.25
KNN,binary,Average Recall,0.57
LogisticRegression,binary,Average Recall,0.54
MLP,binary,Average Recall,0.55
NeuralNetwork,binary,Average Recall,0.53
RandomForest,binary,Average Recall,0.56
SVM,binary,Average Recall,0.55
AdaBoost_SAMME,binary,Average MCC,0.19
DecisionTree,binary,Average MCC,0.26
GaussianNB,binary,Average MCC,0.15
KNN,binary,Average MCC,0.29
LogisticRegression,binary,Average MCC,0.2
MLP,binary,Average MCC,0.23
NeuralNetwork,binary,Average MCC,0.19
RandomForest,binary,Average MCC,0.27
SVM,binary,Average MCC,0.25
AdaBoost_SAMME,catboost,Average F1 score,0.46
DecisionTree,catboost,Average F1 score,0.52
GaussianNB,catboost,Average F1 score,0.49
KNN,catboost,Average F1 score,0.52
LogisticRegression,catboost,Average F1 score,0.44
MLP,catboost,Average F1 score,0.42
NeuralNetwork,catboost,Average F1 score,0.44
RandomForest,catboost,Average F1 score,0.54
SVM,catboost,Average F1 score,0.49
AdaBoost_SAMME,catboost,Average Accuracy,0.51
DecisionTree,catboost,Average Accuracy,0.52
GaussianNB,catboost,Average Accuracy,0.55
KNN,catboost,Average Accuracy,0.56
LogisticRegression,catboost,Average Accuracy,0.53
MLP,catboost,Average Accuracy,0.53
NeuralNetwork,catboost,Average Accuracy,0.54
RandomForest,catboost,Average Accuracy,0.56
SVM,catboost,Average Accuracy,0.55
AdaBoost_SAMME,catboost,Average Precision,0.45
DecisionTree,catboost,Average Precision,0.53
GaussianNB,catboost,Average Precision,0.49
KNN,catboost,Average Precision,0.5
LogisticRegression,catboost,Average Precision,0.4
MLP,catboost,Average Precision,0.39
NeuralNetwork,catboost,Average Precision,0.45
RandomForest,catboost,Average Precision,0.54
SVM,catboost,Average Precision,0.48
AdaBoost_SAMME,catboost,Average Recall,0.51
DecisionTree,catboost,Average Recall,0.52
GaussianNB,catboost,Average Recall,0.55
KNN,catboost,Average Recall,0.56
LogisticRegression,catboost,Average Recall,0.53
MLP,catboost,Average Recall,0.53
NeuralNetwork,catboost,Average Recall,0.54
RandomForest,catboost,Average Recall,0.56
SVM,catboost,Average Recall,0.55
AdaBoost_SAMME,catboost,Average MCC,0.2
DecisionTree,catboost,Average MCC,0.28
GaussianNB,catboost,Average MCC,0.28
KNN,catboost,Average MCC,0.28
LogisticRegression,catboost,Average MCC,0.18
MLP,catboost,Average MCC,0.16
NeuralNetwork,catboost,Average MCC,0.18
RandomForest,catboost,Average MCC,0.29
